,Başlık,İçerik,Kategori
0,Dev zırhlı araçlardan buluşlar çıktı,Türk savunma sanayii bünyesinde geliştirilen askeri kara araçlarıyla beraber çok sayıda buluşa imza atılıyor.,Savunma
1,ASELSAN'ın 'havadaki keskin gözlerinden' ihracat başarısı,ASELSAN tarafından ambargolara yanıt olarak geliştirilen GÖZDE ve ASELFLIR-500 sistemlerinin ilk ihracatı gerçekleştirildi.,Savunma
2,Bayraktar TB3 milli kamera ASELFLIR-500 ile uçtu,"Baykar’ın milli ve özgün olarak geliştirdiği Bayraktar TB3 SİHA, sınıfında dünyanın en iyisi olan yerli elektro-optik sistem ASELFLIR-500 ile yaptığı ilk uçuş testini başarıyla tamamladı.",Savunma
3,Milli AESA radarı Türkiye'nin hava hakimiyetini güçlendiriyor,"ASELSAN tarafından tamamen milli imkanlarla geliştirilen AESA Burun Radarı, ilk uçuşunu F-16 ÖZGÜR Platformu ile gerçekleştirdi.",Savunma
4,Gök Vatan'ın yeni avcısı göreve hazırlanıyor,"Türk savunma sanayii bünyesinde geliştirilen ANKA III, üçüncü kez gökyüzüyle buluştu. 2 saat havada kalan ANKA III, 160 knot hıza ulaşarak 10 bin fit irtifaya çıktı. Uçuşta, otopilot ve uçuş mekaniği testleri gerçekleştirildi.",Savunma
5,Türk zırhlıları Avrupa’da: Sıradaki durak Romanya,"Türkiye, Avrupa ülkelerinin ihtiyaç duydukları kimi savunma sanayii ürünlerinde kapısını çaldığı ilk ülkelerden biri oldu. Romanya’nın 1000’in üzerinde zırhlı araç için düzenlediği ihaleyi OTOKAR’ın kazanması bekleniyor. Uzmanlar, zırhlı kara araçlarında Ankara’nın elinin çok güçlü olduğunu, benzer ihracat haberlerinin gelebileceğini söylüyor.",Savunma
6,5 Süper Mushshak uçağı MSB'ye katıldı,"Milli Savunma Bakanlığı, 5 SMK (Süper Mushshak) uçağının 2'nci Ana Jet Üs Komutanlığı envanterine katıldığını belirtti.",Savunma
7,Bayraktar TB3'ün 2. prototipi gökyüzüyle buluştu,Bayraktar TB3 2. Prototip İlk Uçuş Testini başarıyla tamamladı.,Savunma
8,Türkiye'nin ilk uçak fabrikası HÜRJET'i kanatlandıracak,"Türkiye'nin ilk uçak fabrikası olan ve Kayseri'de yeniden kurulan TOMTAŞ, Türkiye'nin ilk insanlı jet motorlu uçağı HÜRJET'in üretimine katkı sağlayacak.",Savunma
9,"ASELSAN ile MSB arasında 556,5 milyon dolarlık sözleşme","ASELSAN, Milli Savunma Bakanlığı ile 556,5 milyon dolarlık sözleşme imzaladı.",Savunma
10,Rusya-Ukrayna savaşı: Envanterin 'gözdeleri' de vuruldu,"Yakın bir geçmişe kadar ‘karşı konulması neredeyse imkansız’ denilerek pazarlanan platformlar Rusya-Ukrayna savaşında bir bir avlanıyor… Abrams’dan T-90’a Leopard’lardan SU-35’lere kadar son derece pahalı/kabiliyetli sistemlerin böylesine kolay bir şekilde denklem dışına çıkabilmesi, günümüzde harp sahasının geldiği durum açısından dikkate değer…",Savunma
11,"ASELSAN, Türkiye'nin ilk ufuk ötesi denizaltı savunma harbi sonarı DÜFAS'ı geliştirdi","ASELSAN, teknolojik birikim ve yeteneklerini kullanarak Türkiye'nin ilk yerli ve milli ufuk ötesi denizaltı savunma harbi sonarı Düşük Frekans Aktif Sonar Sistemi'ni (DÜFAS) tamamen özgün teknolojiyle Mavi Vatan'a kazandırdı.",Savunma
12,Bayraktar AKINCI'dan tam isabet,"Baykar’ın milli ve özgün olarak geliştirdiği Taarruzi İnsansız Hava Aracı Bayraktar AKINCI, süpersonik füze İHA-230 ile bir kere daha hedefini tam isabetle vurdu.",Savunma
