,Başlık,İçerik,Kategori
0,Cumhurbaşkanı Erdoğan: Gizli pazarlıkların döndüğü bir seçim süreci yaşıyoruz,"Cumhurbaşkanı Recep Tayyip Erdoğan, ""Kimsenin itiraf edemediği gizli pazarlıkların döndüğü bir seçim süreci yaşıyoruz. Yıllardır ağızlarını her açtıklarında şeffaflıktan dürüstlükten bahsedenlerin foyası her gün biraz daha ortaya çıkıyor."" dedi.",Gündem
1,"Cumhurbaşkanı Erdoğan: Pazartesi, İstanbul bir başka güne açılacak","Cumhurbaşkanı Recep Tayyip Erdoğan, ""İnanıyorum ki, yarın akşam Murat kardeşimi tercih ettiğimiz anda pazartesi gününden itibaren, İstanbul bir başka güne açılacak"" dedi.",Gündem
2,"YSK, sandık kurulu başkanlarını kısa mesajlarla bilgilendirecek","Yüksek Seçim Kurulu (YSK), yarın yapılacak Mahalli İdareler Genel Seçimleri'nde, sandık kurulu başkanları, oy kullanılacak yerlerdeki bina sorumluları ile seyyar sandık kurulu başkanlarını kısa mesajlarla bilgilendirecek.",Gündem
3,"YSK üyeleri seçimi ""Kokpit""ten takip edecek","Yüksek Seçim Kurulu (YSK) üyeleri, yarınki Mahalli İdareler Genel Seçimleri'nin sonuçlarını, ""kokpit"" adı verilen ekrandan takip edecek.",Gündem
4,Adım adım oy kullanma rehberi,"Seçmenler, yarın yapılacak Mahalli İdareler Genel Seçimleri için oylarını 5 adımda kullanabilecek.",Gündem
5,"Emine Erdoğan, Dünya Sıfır Atık Günü'nü kutladı","Cumhurbaşkanı Recep Tayyip Erdoğan'ın eşi Emine Erdoğan, ""Kaynakların en üst düzeyde kullanıldığı, atıkların en aza indirildiği ve sürdürülebilirliğin üstün geldiği refah dolu bir dünya diliyorum"" dedi.",Gündem
6,Sıfır Atık gazetesinin yeni sayısı yayınlandı,"Cumhurbaşkanı Recep Tayyip Erdoğan'ın eşi Emine Erdoğan'ın himayesinde yürütülen Sıfır Atık Hareketi'ne dikkati çekmek amacıyla hazırlanan ""Sıfır Atık"" gazetesinin yeni sayısı yayınlandı.",Gündem
7,"İletişim Başkanlığından ""Türkiye Yüzyılı Vizyonuyla Belediyecilik"" Kitabı","İletişim Başkanlığı tarafından yayımlanan kitapta, Türkiye’nin siyasi, ekonomik ve sosyal yapısında merkezi bir rol oynayan belediyelerin geçmişten günümüze gelişim süreci ve Cumhurbaşkanı Recep Tayyip Erdoğan tarafından açıklanan “Türkiye Yüzyılı” vizyonu ile belediyeciliğin gelecekteki yönü detaylı bir şekilde inceleniyor.",Gündem
8,Erdoğan: Roman kardeşlerim sandıkta en güzel cevabı verecek,"Cumhurbaşkanı Erdoğan, ""Roman kardeşlerim kendilerini vatandaş yerine koymayanlara sandıklarda en güzel cevabı verecek. Gerek Edirne gerek Tekirdağ gerekse Kırklareli’nde böyle bir patlamanın olması o kibirli tiplere en güzel cevap olacaktır."" dedi.",Gündem
9,Liderler oylarını nerede kullanacak?,"Yerel yöneticilerini belirlemek üzere yarın sandık başına gitmeye hazırlanan Türkiye'de, Cumhurbaşkanı Erdoğan İstanbul'da, MHP Genel Başkanı Devlet Bahçeli Ankara'da, CHP Genel Başkanı Özgür Özel Manisa'da oy kullanacak.",Gündem
10,Türkiye yarın sandık başına gidiyor,"Türkiye, yeni yerel yöneticilerini seçmek için yarın sandık başına gidecek. 61 milyon 441 bini aşkın seçmenin oy kullanacağı seçimlere, 34 siyasi parti katılacak.",Gündem
11,Bakan Tunç: Biz milletimizi dinlediğimiz için 22 yıldır iktidardayız,"Adalet Bakanı Yılmaz Tunç, ""Biz milletimizi dinlediğimiz için, biz sizinle beraber olduğumuz için 22 yıldır iktidardayız. 17 seçimdir bu millet boşuna mı AK Parti, boşuna mı Recep Tayyip Erdoğan diyor"" dedi.",Gündem
